id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9784567,nice Room in Amsterdam,27280608,Petra,,Bijlmer-Oost,52.32336931905056,4.977729820098882,Private room,95,1,5,2016-06-27,0.81,3,365
13163805,Best cost benefit room near a metro station,35491461,Phillip,,Bijlmer-Oost,52.31563541152141,4.978166362035691,Private room,60,1,4,2016-06-27,4,1,77
3719167,Nice  room in A´dam SE near nature & heart centre,18991270,Maria,,Bijlmer-Oost,52.316710723876675,4.986617637373466,Private room,45,5,11,2016-01-02,0.48,1,23
13188367,Private room 15min metro ride from city center,73797940,Diana,,Bijlmer-Oost,52.32120440198549,4.976630069552119,Private room,35,1,2,2016-05-31,1.62,1,10
4831606,Room in Amsterdam in a new house!! Free Bicycle,24314617,Jorim,,Bijlmer-Oost,52.32727036486493,4.967351995112772,Private room,39,14,12,2016-03-22,0.65,1,338
13727930,Studio in Amsterdam,39220615,Maxime,,Bijlmer-Oost,52.31458745319172,4.975385079227264,Entire home/apt,80,2,0,,,1,9
591951,"House on waterfront, last minute reduction!",2580855,Martine,,Bijlmer-Oost,52.32698144329306,4.982948910311373,Entire home/apt,191,2,24,2016-06-26,0.51,1,346
9833390,Clean modern appartment near city,50228985,Jonas,,Bijlmer-Oost,52.31458819291751,4.982022448792976,Entire home/apt,129,2,1,2016-05-06,0.50,1,41
13601947,Apartment South East A'dam (close to metrostation),29392408,Robin,,Bijlmer-Oost,52.318813583677134,4.980408507863993,Entire home/apt,120,2,1,2016-06-27,1,1,39
12850813,Great Apartment for families,70203818,Rachelle,,Bijlmer-Oost,52.31443490337085,4.9823508652376685,Entire home/apt,111,1,1,2016-05-13,0.57,1,0
5870618,Cosy Apartment + Wifi,19765075,JLarry,,Bijlmer-Oost,52.32319028010555,4.972298405760071,Entire home/apt,251,1,1,2015-05-07,0.07,1,0
5362748,Great room south of Amsterdam!,27800005,Edzo,,Bijlmer-Oost,52.32263415001058,4.960662732686624,Private room,45,1,8,2016-06-29,0.68,1,193
13538703,New and stylish big apartment in amsterdam,9506432,Qing,,Bijlmer-Oost,52.31948394808429,4.979978079623521,Entire home/apt,150,1,0,,,1,315
12680964,"Flat, 15min metro Amsterdam center",56894783,Lola,,Bijlmer-Oost,52.32104252028143,4.977695125471293,Private room,30,1,3,2016-06-27,1.48,1,0
12023314,Sunny Vintage Apartment,46224605,Ricky,,Bijlmer-Oost,52.321851249294134,4.974270640821966,Entire home/apt,99,3,8,2016-07-04,3.58,1,271
10907707,Lovely room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31760099667676,4.985381723329465,Private room,40,3,26,2016-06-27,5.45,3,271
10908410,Cute room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31696878267676,4.9854364966648905,Private room,40,3,18,2016-06-19,3.80,3,297
9958128,"Room for rent in Kleiburg,Amsterdam",28625115,Karalina,,Bijlmer-Oost,52.315078493459914,4.977655601361187,Private room,29,1,9,2016-07-02,1.53,1,245
7303805,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32211295081488,4.9626411051784975,Private room,45,1,7,2015-09-10,0.60,2,0
9859597,Furnished room in a nice apartment!,44612247,Ani,,Bijlmer-Oost,52.32638861547034,4.973649067775268,Private room,30,7,0,,,1,297
9038396,Nice appartment / free parking,7697086,Melanie,,Bijlmer-Oost,52.323287388827,4.966810792092373,Entire home/apt,55,2,3,2015-11-23,0.38,1,0
10670670,Luxery apartment near metro,54165843,Carvalho,,Bijlmer-Oost,52.31637788819628,4.982909355307574,Entire home/apt,130,5,0,,,1,0
9268952,Split level apartment 2 bedrooms,48144218,Paul,,Bijlmer-Oost,52.32127464362183,4.9696730624067875,Entire home/apt,69,2,8,2016-05-30,1.14,1,6
2942229,An stylish room in a green area,1271678,Andrea,,Bijlmer-Oost,52.324548142399564,4.975968402539098,Private room,49,2,141,2016-06-19,5.37,1,318
13067890,Bright and Spacious Double Room,27481330,Abby,,Bijlmer-Oost,52.31514757487573,4.985660235972804,Private room,80,1,3,2016-06-06,2.05,2,302
9462160,Nice and comfy,49033227,Shaïr,,Bijlmer-Oost,52.32400385763509,4.957927068207733,Entire home/apt,52,1,28,2016-06-20,3.73,1,278
6873473,Amsterdam Zimmer für 2,27280608,Petra,,Bijlmer-Oost,52.32236610574357,4.97283838863628,Private room,85,1,21,2016-06-27,1.68,3,365
9250191,"Private room double bed,free parkin",23629015,Silvio,,Bijlmer-Oost,52.326046437240386,4.970389813865916,Private room,30,1,21,2016-06-15,3.42,1,314
12508971,Big appartment (room),67741277,Kevin,,Bijlmer-Oost,52.322464483863165,4.971780573369085,Private room,35,14,0,,,1,0
10276821,City Center South East apartment,7425602,Liz,,Bijlmer-Oost,52.324883064229994,4.9710832341573745,Entire home/apt,100,1,7,2016-05-29,1.24,4,80
3905287,B&B# green oasis with free parking,16567328,Thea,,Bijlmer-Oost,52.319784253576934,4.962587247424782,Private room,70,2,78,2016-06-18,3.44,1,310
13719656,Luxury private room in Amsterdam,23817576,Leandro,,Bijlmer-Oost,52.317676690816754,4.97911781662621,Private room,50,1,0,,,3,365
9880934,New apartment with free parking,50834579,Kasia,,Bijlmer-Oost,52.318280641259854,4.97851297936739,Entire home/apt,79,3,3,2016-01-06,0.48,1,149
6345602,GroundFloor Appartment in Amsterdam,33050212,Claes,,Bijlmer-Oost,52.3186501651247,4.977307164547889,Entire home/apt,120,2,15,2016-05-16,1.12,1,1
12289041,Cozy room in a quiet neighborhood,12308050,Dan&Oxana,,Bijlmer-Oost,52.32378862157053,4.981497041813799,Private room,65,3,5,2016-07-02,2.08,2,353
12735030,Twobedroom apartment next to the subway,52920463,Timothy,,Bijlmer-Oost,52.321211474612745,4.9788677578804075,Entire home/apt,45,3,1,2016-06-28,1,1,6
7131573,"Bright room, green park, arty flat!",30039084,Christiaan,,Bijlmer-Oost,52.32466336358793,4.9744728650035555,Private room,55,1,43,2016-05-29,3.54,1,0
12031955,"Big, sunny spacious house",34267211,Irene,,Bijlmer-Oost,52.32484179665963,4.982480159171627,Entire home/apt,120,5,0,,,1,0
7303459,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32100583630295,4.961115220537148,Private room,40,1,0,,,2,0
7032765,Budget Room in Amsterdam,24946899,Pouya,,Bijlmer-Oost,52.31572525215219,4.985908235499816,Private room,36,1,26,2016-04-26,2.10,1,38
11684742,Studio in Amsterdam,24651625,Don,,Bijlmer-Oost,52.318924640399615,4.978956258058247,Entire home/apt,50,1,19,2016-06-24,5.33,1,280
13779421,Short stay room in Amsterdam (in student house),80899279,Ruben,,Bijlmer-Oost,52.32643008463671,4.982602234999557,Private room,27,1,0,,,1,364
12272272,Lovely room near metro station,12308050,Dan&Oxana,,Bijlmer-Oost,52.32333428485076,4.977622366092019,Private room,65,3,7,2016-06-10,2.69,2,355
7722639,Two cozy rooms for max. 4 persons,31270920,Mrs.,,Bijlmer-Oost,52.3179152282139,4.96662438256415,Private room,77,1,10,2016-06-09,1.02,1,265
7880299,Spacious apartment next to metro,41519829,Marly,,Bijlmer-Oost,52.32344011082727,4.972190539578077,Entire home/apt,75,5,4,2015-11-16,0.46,1,0
13745770,Luxury apartment in Amsterdam,23817576,Leandro,,Bijlmer-Oost,52.31742485343347,4.9796067717734624,Entire home/apt,99,1,0,,,3,364
3522143,Quiet summer apartment,17736293,Eefje,,Bijlmer-Oost,52.324584742919754,4.978723905390833,Entire home/apt,50,3,3,2015-08-04,0.26,1,0
13262666,Laid back town house with garden and terrace,9015391,Elle,,Bijlmer-Oost,52.31946953204911,4.96476080398304,Entire home/apt,89,4,0,,,1,11
10860856,Nice room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31781329483963,4.98580325507547,Private room,45,3,22,2016-06-26,4.55,3,272
3651182,Beautiful complete apartment,17092248,Frank,,Bijlmer-Oost,52.32177089024753,4.980814206598688,Entire home/apt,100,2,40,2016-06-28,1.92,1,347
13775357,Luxury private room in Amsterdam (2),23817576,Leandro,,Bijlmer-Oost,52.31638334963021,4.979504637406429,Private room,50,1,0,,,3,363
12333473,Modern Clean appartement,66564987,Ari,,Bijlmer-Oost,52.3178593955657,4.979526404699839,Entire home/apt,98,2,10,2016-06-26,3.80,1,325
9925265,Appartement in Amsterdam South East,51019491,Vladimir,,Bijlmer-Oost,52.320836316836186,4.976739857187362,Entire home/apt,60,2,0,,,1,1
11650989,Cozy 2-pers private bedroom.,32981372,Cherana & Giovanni,,Bijlmer-Oost,52.31524819385754,4.976901010962061,Private room,45,1,12,2016-06-08,3.46,1,315
4402514,"12,5m2 privet room in a nice flat",22670971,Ara,,Bijlmer-Oost,52.32075380860257,4.975741186930377,Private room,30,4,18,2016-06-18,0.90,1,262
13685155,"Modern, light, spectacular view. Free Parking",79699705,Majo,,Bijlmer-Oost,52.32063557270274,4.96554726611147,Entire home/apt,140,2,0,,,1,79
13706439,Cozy Amazing room with great view,74966732,Ceejay,,Bijlmer-Oost,52.32358429309952,4.969166409127385,Private room,55,1,0,,,2,147
13354641,XL ROOM for 3/4 persons - FlexRoom,75726935,Jason & Son,,Bijlmer-Oost,52.31708706894267,4.97196883731886,Private room,75,4,0,,,1,90
11617912,Cozy appartement in Amsterdam,60767516,Nino,,Bijlmer-Oost,52.314077035377444,4.983944620866238,Entire home/apt,80,1,21,2016-06-26,5.21,1,294
12395521,STUDIO 1 minut from Subway/Market,21951693,Gabii,,Bijlmer-Oost,52.317192569145554,4.977787542200826,Entire home/apt,50,5,0,,,1,13
9817243,Couch in living room,27280608,Petra,,Bijlmer-Oost,52.322131996253056,4.977425952077016,Shared room,45,1,9,2016-06-27,2.67,3,365
13784548,Appartment with beautiful view,40950676,Anne,,Bijlmer-Oost,52.32137917167616,4.978442775775938,Entire home/apt,93,7,0,,,1,28
13288857,Bed Breakfast Bikes(15 mins from city center),74966732,Ceejay,,Bijlmer-Oost,52.32216128044978,4.971087356917402,Private room,45,1,5,2016-06-26,5,2,21
13054514,Comfortable light 90 sq mtr apartment with view,72273355,Marije,,Bijlmer-Oost,52.321494807579306,4.978443345331418,Entire home/apt,115,3,1,2016-06-27,1,1,48
7046849,Lovely room in South East Amsterdam,36953379,Mark,,Bijlmer-Oost,52.32231416120611,4.9615935128732325,Private room,45,1,7,2015-09-09,0.57,1,141
