id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4983904,Private Room,25691713,Mahaprabhu,,Bijlmer-Oost,52.312968159734524,4.9793769184292165,Private room,22,1,4,2016-05-19,0.24,1,3
7303805,Cozy room in the SE of Amsterdam,23023786,Robert,,Bijlmer-Oost,52.32211295081488,4.9626411051784975,Private room,45,1,7,2015-09-10,0.66,2,0
12272272,Lovely room near metro station,12308050,Dan&Oxana,,Bijlmer-Oost,52.32333428485076,4.977622366092019,Private room,65,3,5,2016-05-23,3.19,2,345
7722639,Two cozy rooms for max. 4 persons,31270920,Mrs.,,Bijlmer-Oost,52.3179152282139,4.96662438256415,Private room,77,1,9,2016-05-22,1.02,1,235
12508971,Big appartment (room),67741277,Kevin,,Bijlmer-Oost,52.322464483863165,4.971780573369085,Private room,35,14,0,,,1,0
591951,"House on waterfront, free parking!",2580855,Martine,,Bijlmer-Oost,52.32698144329306,4.982948910311373,Entire home/apt,265,2,22,2016-05-16,0.48,1,361
13075422,Simple&Comfortable&Room&Breakfast,58145966,Isa,,Bijlmer-Oost,52.31979223868359,4.978862758804699,Private room,60,1,0,,,4,356
9115414,staying in green surroundings,47499392,Ingrid,,Bijlmer-Oost,52.32093767789479,4.987733661319591,Private room,30,2,1,2016-01-01,0.19,1,0
5998167,Sunny 2 room apartment,31140233,Jan,,Bijlmer-Oost,52.32338893543207,4.974380320636552,Entire home/apt,65,14,24,2016-05-09,1.76,1,300
3522143,Quiet summer apartment,17736293,Eefje,,Bijlmer-Oost,52.324584742919754,4.978723905390833,Entire home/apt,50,3,3,2015-08-04,0.29,1,0
12680964,"Flat, 15min metro Amsterdam center",56894783,Lola,,Bijlmer-Oost,52.32104252028143,4.977695125471293,Private room,30,1,1,2016-05-05,1,1,0
10908410,Cute room 15 min to city center. Free parking,56258088,Kofi,,Bijlmer-Oost,52.31696878267676,4.9854364966648905,Private room,40,2,14,2016-05-26,3.78,3,274
9958128,"Room for rent in Kleiburg,Amsterdam",28625115,Karalina,,Bijlmer-Oost,52.315078493459914,4.977655601361187,Private room,29,1,8,2016-05-24,1.66,1,214
9925265,Appartement in Amsterdam South East,51019491,Vladimir,,Bijlmer-Oost,52.320836316836186,4.976739857187362,Entire home/apt,60,2,0,,,1,0
7880299,Spacious apartment next to metro,41519829,Marly,,Bijlmer-Oost,52.32344011082727,4.972190539578077,Entire home/apt,75,5,4,2015-11-16,0.52,1,0
12023314,Sunny Vintage Apartment,46224605,Ricky,,Bijlmer-Oost,52.321851249294134,4.974270640821966,Entire home/apt,99,3,3,2016-05-30,2.50,1,276
9859597,15 m2 furnished room for rent,44612247,Ani,,Bijlmer-Oost,52.32638861547034,4.973649067775268,Private room,35,7,0,,,1,324
10670670,Luxery apartment near metro,54165843,Carvalho,,Bijlmer-Oost,52.31637788819628,4.982909355307574,Entire home/apt,130,5,0,,,1,0
11888845,Cozy nest in amsterdam,49884452,Danae,,Bijlmer-Oost,52.31837254616472,4.979048978248377,Private room,60,1,0,,,2,206
13067890,Bright and Spacious Double Room,27481330,Abby,,Bijlmer-Oost,52.31514757487573,4.985660235972804,Private room,80,1,0,,,2,272
9038396,Nice appartment / free parking,7697086,Melanie,,Bijlmer-Oost,52.323287388827,4.966810792092373,Entire home/apt,55,2,3,2015-11-23,0.44,1,0
13034614,Simple Comfortable Private Space with breakfast,58145966,Isa,,Bijlmer-Oost,52.32020941135146,4.978516985374955,Private room,60,1,0,,,4,351
9462160,Nice and comfy,49033227,Shaïr,,Bijlmer-Oost,52.32400385763509,4.957927068207733,Entire home/apt,52,1,22,2016-05-26,3.40,1,252
6873473,Amsterdam Zimmer für 2,27280608,Petra,,Bijlmer-Oost,52.32236610574357,4.97283838863628,Private room,85,1,19,2016-05-29,1.66,3,355
9250191,Private room double bed Free parkin,23629015,Silvio,,Bijlmer-Oost,52.326046437240386,4.970389813865916,Private room,30,1,16,2016-05-25,3.14,1,296
2942229,An stylish room in a green area,1271678,Andrea,,Bijlmer-Oost,52.324548142399564,4.975968402539098,Private room,49,2,137,2016-05-23,5.44,1,309
13098961,Nice private room with breakfast,58145966,Isa,,Bijlmer-Oost,52.31842096405763,4.980080998143312,Private room,60,1,0,,,4,351
9648589,Cozy nest with view from way above!,49884452,Danae,,Bijlmer-Oost,52.317417585129874,4.981071115017553,Private room,45,1,17,2016-05-29,3.21,2,6
